Strategy;mapName;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize
DADCA-NSN;77;500;4;0.0;71;2;13000;128;148;4;2;2;-1;0;0;251053;0.0;0.0
DADCA-NSN;78;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;86665;0.0;0.0
DADCA-NSN;78;500;4;0.0;71;2;13000;104;129;4;2;2;-1;0;0;255309;0.0;0.0
DADCA-NSN;79;50;4;0.0;71;2;13000;17;50;4;2;2;-1;0;0;81478;0.0;0.0
DADCA-NSN;79;500;4;0.0;71;2;13000;117;129;4;2;2;-1;0;0;257152;0.0;0.0
DADCA-NSN;80;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;79642;0.0;0.0
DADCA-NSN;80;500;4;0.0;71;2;13000;125;145;4;2;2;-1;0;0;251199;0.0;0.0
DADCA-NSN;81;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;76874;0.0;0.0
DADCA-NSN;81;500;4;0.0;71;2;13000;126;144;4;2;2;-1;0;0;248038;0.0;0.0
DADCA-NSN;82;50;4;0.0;71;2;13000;16;50;4;2;2;-1;0;0;79014;0.0;0.0
DADCA-NSN;82;500;4;0.0;71;2;13000;141;145;4;2;2;-1;0;0;256336;0.0;0.0
DADCA-NSN;83;50;4;0.0;71;2;13000;16;66;4;2;2;-1;0;0;82035;0.0;0.0
DADCA-NSN;83;500;4;0.0;71;2;13000;119;144;4;2;2;-1;0;0;256320;0.0;0.0
DADCA-NSN;84;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;89826;0.0;0.0
DADCA-NSN;84;500;4;0.0;71;2;13000;137;146;4;2;2;-1;0;0;253678;0.0;0.0
DADCA-NSN;85;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;87747;0.0;0.0
DADCA-NSN;85;500;4;0.0;71;2;13000;140;144;4;2;2;-1;0;0;254373;0.0;0.0
DADCA-NSN;86;50;4;0.0;71;2;13000;15;50;4;2;2;-1;0;0;92285;0.0;0.0
DADCA-NSN;86;500;4;0.0;71;2;13000;125;144;4;2;2;-1;0;0;253990;0.0;0.0
DADCA-NSN;87;50;4;0.0;71;2;13000;32;50;4;2;2;-1;0;0;75252;0.0;0.0
DADCA-NSN;87;500;4;0.0;71;2;13000;141;144;4;2;2;-1;0;0;257427;0.0;0.0
DADCA-NSN;88;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;84778;0.0;0.0
DADCA-NSN;88;500;4;0.0;71;2;13000;143;151;4;2;2;-1;0;0;257452;0.0;0.0
DADCA-NSN;89;50;4;0.0;71;2;13000;16;66;4;2;2;-1;0;0;88279;0.0;0.0
DADCA-NSN;89;500;4;0.0;71;2;13000;130;140;4;2;2;-1;0;0;249080;0.0;0.0
DADCA-NSN;90;50;4;0.0;71;2;13000;16;50;4;2;2;-1;0;0;76140;0.0;0.0
DADCA-NSN;90;500;4;0.0;71;2;13000;138;132;4;2;2;-1;0;0;254030;0.0;0.0
DADCA-NSN;91;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;70541;0.0;0.0
DADCA-NSN;91;500;4;0.0;71;2;13000;140;140;4;2;2;-1;0;0;249247;0.0;0.0
DADCA-NSN;92;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;71251;0.0;0.0
DADCA-NSN;92;500;4;0.0;71;2;13000;130;140;4;2;2;-1;0;0;256061;0.0;0.0
DADCA-NSN;93;50;4;0.0;71;2;13000;32;50;4;2;2;-1;0;0;86471;0.0;0.0
DADCA-NSN;93;500;4;0.0;71;2;13000;130;140;4;2;2;-1;0;0;265021;0.0;0.0
DADCA-NSN;94;50;4;0.0;71;2;13000;16;50;4;2;2;-1;0;0;83598;0.0;0.0
DADCA-NSN;94;500;4;0.0;71;2;13000;123;140;4;2;2;-1;0;0;267086;0.0;0.0
DADCA-NSN;95;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;83343;0.0;0.0
DADCA-NSN;95;500;4;0.0;71;2;13000;140;140;4;2;2;-1;0;0;246042;0.0;0.0
DADCA-NSN;96;50;4;0.0;71;2;13000;16;50;4;2;2;-1;0;0;84719;0.0;0.0
DADCA-NSN;96;500;4;0.0;71;2;13000;130;140;4;2;2;-1;0;0;252698;0.0;0.0
DADCA-NSN;97;50;4;0.0;71;2;13000;15;65;4;2;2;-1;0;0;91470;0.0;0.0
DADCA-NSN;97;500;4;0.0;71;2;13000;120;140;4;2;2;-1;0;0;256908;0.0;0.0
DADCA-NSN;98;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;86064;0.0;0.0
DADCA-NSN;98;500;4;0.0;71;2;13000;130;150;4;2;2;-1;0;0;246761;0.0;0.0
DADCA-NSN;99;50;4;0.0;71;2;13000;16;50;4;2;2;-1;0;0;81372;0.0;0.0
DADCA-NSN;99;500;4;0.0;71;2;13000;130;140;4;2;2;-1;0;0;253147;0.0;0.0
DADCA-NSN;100;50;4;0.0;71;2;13000;15;65;4;2;2;-1;0;0;73814;0.0;0.0
DADCA-NSN;100;500;4;0.0;71;2;13000;130;140;4;2;2;-1;0;0;274350;0.0;0.0
DADCA-lkh;1;50;4;0.0;71;2;13000;110;94;4;2;2;-1;0;0;76323;0.0;0.0
DADCA-lkh;1;500;4;0.0;71;2;13000;14268;14237;4;2;2;-1;0;0;210709;0.0;0.0
DADCA-lkh;1;1000;4;0.0;71;2;13000;109239;109147;4;2;2;-1;0;0;297146;0.0;0.0
DADCA-lkh;2;50;4;0.0;71;2;13000;94;78;4;2;2;-1;0;0;71716;0.0;0.0
DADCA-lkh;2;500;4;0.0;71;2;13000;16337;16298;4;2;2;-1;0;0;214629;0.0;0.0
DADCA-lkh;2;1000;4;0.0;71;2;13000;49664;49601;4;2;2;-1;0;0;297669;0.0;0.0
DADCA-lkh;3;50;4;0.0;71;2;13000;125;110;4;2;2;-1;0;0;74612;0.0;0.0
DADCA-lkh;3;500;4;0.0;71;2;13000;24542;24495;4;2;2;-1;0;0;213950;0.0;0.0
DADCA-lkh;3;1000;4;0.0;71;2;13000;93108;93006;4;2;2;-1;0;0;298980;0.0;0.0
DADCA-lkh;4;50;4;0.0;71;2;13000;109;109;4;2;2;-1;0;0;71428;0.0;0.0
DADCA-lkh;4;500;4;0.0;71;2;13000;5962;5915;4;2;2;-1;0;0;210394;0.0;0.0
