Strategy;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;mapName
DADCA-parted-nsn;20;12;28.46807;71;259200;13000;6196;0;4;224135;155860;1557;305;276237;56345;10.983053567005792;50.524580434251504;7
DADCA-NSN;20;12;28.37365;71;259200;13000;7067;0;4;221225;157500;1600;179;270356;57453;10.946624109320224;49.3858452845944;7
FPPWR;20;12;14.32407;71;259200;13000;6677;15;4;223625;220270;3274;626;137273;97363;5.526263145861913;14.712030313439477;7
TSPConcorde;20;16;40.84385;71;259200;13000;8364;156;4;158770;148945;1560;305;394247;48461;15.757656809651731;84.28188945877568;7
DADCA-lkh-cutted;20;16;42.23804;71;259200;13000;8684;45;4;205680;110160;1366;305;410160;51343;16.295540171086724;82.26640461885124;7
DADCA-lkh;20;16;43.87596;71;259200;13000;8568;11;4;205100;112215;2766;305;423358;50659;16.92745544219631;86.6104038890875;7
DADCA-parted-nsn;20;16;37.77054;71;259200;13000;8584;2;4;214175;122125;1559;305;365878;56345;14.571969128657981;67.03442005764751;7
DADCA-NSN;20;16;37.50434;71;259200;13000;10208;0;4;208650;126370;1517;181;351394;57453;14.469267082475996;65.27829752628719;7
FPPWR;20;16;18.94705;71;259200;13000;9458;0;4;211785;207835;3279;626;181771;97363;7.3098181370027415;19.46021446659522;7
TSPConcorde;20;4;11.15143;71;259200;13000;3890;234;4;231555;229215;1460;243;108051;46046;4.302248251981405;24.218015612943148;8
DADCA-lkh-cutted;20;4;11.42091;71;259200;13000;3448;93;4;245020;218905;1298;243;110743;48321;4.406215468297517;23.635501115099366;8
DADCA-lkh;20;4;13.08025;71;259200;13000;3747;47;4;241975;212890;2402;243;127333;43240;5.0463915561652195;30.250339763136562;8
DADCA-parted-nsn;20;4;11.18210;71;259200;13000;3447;0;4;245445;218790;1472;243;108799;48830;4.314081313824113;22.900058909342825;8
DADCA-NSN;20;4;11.93470;71;259200;13000;3782;0;4;243085;217535;1570;243;115156;47328;4.604437859606004;25.217002476544035;8
FPPWR;20;4;5.49990;71;259200;13000;3532;16;4;245600;244085;3179;837;53076;83982;2.121876369360614;6.548907562790492;8
TSPConcorde;20;8;22.05285;71;259200;13000;5136;173;4;204745;199595;1461;243;213878;46046;8.50804588667886;47.893095900342274;8
DADCA-lkh-cutted;20;8;22.63233;71;259200;13000;4886;63;4;232310;178140;1294;243;219093;48321;8.731608891556164;46.83746248404126;8
DADCA-lkh;20;8;25.93547;71;259200;13000;5028;48;4;225945;167500;2401;243;251196;43240;10.005970114597623;59.980283388152266;8
DADCA-parted-nsn;20;8;22.15760;71;259200;13000;4687;15;4;231805;179500;1480;243;215205;48830;8.548456909198293;45.37702295441732;8
DADCA-NSN;20;8;23.14063;71;259200;13000;5139;0;4;227675;184245;1443;243;222853;47328;8.92771026234568;48.894153566599066;8
FPPWR;20;8;10.78665;71;259200;13000;4938;1;4;232390;229505;3182;837;104175;83982;4.161516680003049;12.84400375624289;8
TSPConcorde;20;12;33.10079;71;259200;13000;6328;157;4;176985;170105;1294;383;321086;43240;12.770366857662703;76.55132029385229;8
DADCA-lkh-cutted;20;12;33.70467;71;259200;13000;6788;25;4;218370;137550;1299;243;326903;48321;13.003344216773359;69.75159497915304;8
DADCA-lkh;20;12;38.67380;71;259200;13000;6570;17;4;208570;123550;2399;243;373985;43240;14.92044907883707;89.43987976953211;8
DADCA-parted-nsn;20;12;33.16059;71;259200;13000;6554;0;4;220380;138825;1479;243;322191;48830;12.793437607167354;67.91028113409334;8
DADCA-NSN;20;12;34.16233;71;259200;13000;7633;0;4;212150;149545;1269;243;324525;47328;13.179909872256514;72.18206218071519;8
FPPWR;20;12;16.01427;71;259200;13000;6843;37;4;219280;216015;3176;837;153235;83982;6.178346717344915;19.068698877566646;8
TSPConcorde;20;16;43.86642;71;259200;13000;8371;172;4;150545;140925;1462;243;425473;46046;16.923771564452828;95.26650717773906;8
DADCA-lkh-cutted;20;16;44.81279;71;259200;13000;8372;17;4;208945;99960;1298;383;435075;48321;17.28888478080704;92.73978053403667;8
DADCA-lkh;20;16;51.45467;71;259200;13000;8326;39;4;192910;78525;2399;243;496834;43240;19.851338043933854;118.99784507372004;8
DADCA-parted-nsn;20;16;44.09047;71;259200;13000;8107;0;4;207505;99610;1482;243;427409;48830;17.010212453322666;90.29381666805725;8
DADCA-NSN;20;16;44.88436;71;259200;13000;10045;0;4;195625;122830;1232;242;424642;47328;17.316495258440025;94.83678944784599;8
