Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
TSPbasedMobility;20;4;6,28630;10;3750000;3000;113;4;3525555;3384240;756
TSPbasedMobility;20;8;11,61469;10;3750000;3000;88;4;3326435;3307895;781
TSPbasedMobility;20;16;29,29603;10;3750000;3000;136;4;2674680;2632705;741
TSPbasedMobility;20;4;6,53814;10;3750000;3000;123;4;3518490;3364905;634
TSPbasedMobility;20;8;13,26119;10;3750000;3000;231;4;3262560;3242975;502
TSPbasedMobility;20;16;29,29255;10;3750000;3000;129;4;2675305;2634470;219
TSPbasedMobility;20;2;3,23239;10;3750000;3000;214;4;3631730;3626320;433
TSPbasedMobility;20;4;6,57427;10;3750000;3000;58;4;3508640;3498205;975
TSPbasedMobility;20;8;12,78596;10;3750000;3000;143;4;3282775;3263270;946
TSPbasedMobility;20;16;28,84344;10;3750000;3000;101;4;2686010;2643970;89
TSPbasedMobility;20;2;3,31517;10;3750000;3000;86;4;3627790;3622355;1092
TSPbasedMobility;20;4;6,55426;10;3750000;3000;105;4;3515260;3360185;798
TSPbasedMobility;20;8;15,11172;10;3750000;3000;63;4;3194950;3173955;441
TSPbasedMobility;20;16;20,56094;10;3750000;3000;99;4;2992075;2961090;2716
TSPbasedMobility;20;2;3,56015;10;3750000;3000;113;4;3619555;3613490;761
TSPbasedMobility;20;4;7,55899;10;3750000;3000;102;4;3470735;3458360;364
TSPbasedMobility;20;8;13,36825;10;3750000;3000;66;4;3258300;3239310;854
TSPbasedMobility;20;16;26,55694;10;3750000;3000;207;4;2766905;2728885;845
TSPbasedMobility;20;2;3,30626;10;3750000;3000;46;4;3630185;3624480;420
TSPbasedMobility;20;4;7,30369;10;3750000;3000;411;4;3482030;3470000;192
TSPbasedMobility;20;8;13,41835;10;3750000;3000;119;4;3258315;3239620;472
TSPbasedMobility;20;16;24,28818;10;3750000;3000;104;4;2855920;2821420;305
TSPbasedMobility;20;2;3,00779;10;3750000;3000;49;4;3639795;3634845;1031
TSPbasedMobility;20;4;6,42913;10;3750000;3000;60;4;3513720;3503705;683
TSPbasedMobility;20;8;10,90455;10;3750000;3000;71;4;3349595;3332520;1144
TSPbasedMobility;20;16;21,09586;10;3750000;3000;102;4;2974455;2942280;984
TSPbasedMobility;20;2;3,47975;10;3750000;3000;148;4;3621615;3616055;1230
TSPbasedMobility;20;4;6,56847;10;3750000;3000;68;4;3509175;3498575;332
TSPbasedMobility;20;8;13,35429;10;3750000;3000;195;4;3258730;3240055;667
TSPbasedMobility;20;16;27,14769;10;3750000;3000;104;4;2750755;2710930;344
TSPbasedMobility;20;2;3,80113;10;3750000;3000;50;4;3610175;3604545;246
TSPbasedMobility;20;4;6,16102;10;3750000;3000;219;4;3524805;3514795;1215
TSPbasedMobility;20;8;13,72936;10;3750000;3000;94;4;3244995;3225420;94
TSPbasedMobility;20;16;27,81477;10;3750000;3000;267;4;2755845;2133765;901
TSPbasedMobility;20;2;3,22449;10;3750000;3000;112;4;3631695;3626075;129
TSPbasedMobility;20;4;6,93877;10;3750000;3000;154;4;3495230;3485615;211
TSPbasedMobility;20;8;13,65747;10;3750000;3000;317;4;3246300;3224975;518
TSPbasedMobility;20;16;30,24270;10;3750000;3000;68;4;2637940;2593540;365
