Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
TSPbasedMobility;20;8;13.99616;10;3750000;3000;54;4;3237970;3216310;1413
ZigZagOverNSNMobility;20;4;8.63323;10;3750000;3000;38;4;3584025;3365875;145
KingstonImprovedOverNSNMobility;20;4;8.35266;10;3750000;3000;41;4;3640775;3308265;145
TSPbasedMobility;20;4;7.40516;10;3750000;3000;44;4;3483865;3363885;145
ZigZagOverNSNMobility;20;2;4.32657;10;3750000;3000;34;4;3667070;3558225;145
KingstonImprovedOverNSNMobility;20;2;4.35301;10;3750000;3000;36;4;3685335;3509320;145
TSPbasedMobility;20;2;3.17983;10;3750000;3000;40;4;3633425;3628130;1413
ZigZagOverNSNMobility;20;16;30.50282;10;3750000;3000;62;4;3154215;2362785;49
KingstonImprovedOverNSNMobility;20;16;27.59963;10;3750000;3000;78;4;3361730;2212690;49
TSPbasedMobility;20;16;26.45719;10;3750000;3000;185;4;2786430;2748325;49
ZigZagOverNSNMobility;20;8;15.34855;10;3750000;3000;49;4;3454375;3049420;49
KingstonImprovedOverNSNMobility;20;8;13.88783;10;3750000;3000;57;4;3556230;2972115;49
TSPbasedMobility;20;8;12.37454;10;3750000;3000;172;4;3298405;3279520;1942
ZigZagOverNSNMobility;20;4;7.72025;10;3750000;3000;39;4;3602330;3400775;49
KingstonImprovedOverNSNMobility;20;4;7.65575;10;3750000;3000;43;4;3642160;3329590;49
TSPbasedMobility;20;4;7.09748;10;3750000;3000;153;4;3491760;3480470;49
ZigZagOverNSNMobility;20;2;3.88004;10;3750000;3000;35;4;3676165;3575435;49
KingstonImprovedOverNSNMobility;20;2;4.00243;10;3750000;3000;36;4;3696855;3537850;49
TSPbasedMobility;20;2;3.10224;10;3750000;3000;155;4;3637375;3631715;1942
ZigZagOverNSNMobility;20;16;30.27981;10;3750000;3000;65;4;3172855;2401705;148
KingstonImprovedOverNSNMobility;20;16;29.22193;10;3750000;3000;79;4;3352150;2067565;148
TSPbasedMobility;20;16;30.57437;10;3750000;3000;97;4;2631215;2588495;658
ZigZagOverNSNMobility;20;8;15.26519;10;3750000;3000;48;4;3464205;3076280;148
KingstonImprovedOverNSNMobility;20;8;14.90587;10;3750000;3000;57;4;3557250;2944860;148
TSPbasedMobility;20;8;14.69269;10;3750000;3000;80;4;3209565;3187780;658
ZigZagOverNSNMobility;20;4;7.66957;10;3750000;3000;39;4;3607395;3399700;148
KingstonImprovedOverNSNMobility;20;4;7.37603;10;3750000;3000;42;4;3648400;3286610;148
TSPbasedMobility;20;4;7.80493;10;3750000;3000;67;4;3464020;3452145;362
ZigZagOverNSNMobility;20;2;3.86416;10;3750000;3000;33;4;3678235;3574160;148
KingstonImprovedOverNSNMobility;20;2;4.06881;10;3750000;3000;36;4;3693920;3517030;148
TSPbasedMobility;20;2;3.30911;10;3750000;3000;61;4;3628340;3622845;658
ZigZagOverNSNMobility;20;16;23.44563;10;3750000;3000;63;4;3315240;2322575;185
KingstonImprovedOverNSNMobility;20;16;22.98414;10;3750000;3000;73;4;3463560;2496725;185
TSPbasedMobility;20;16;26.90002;10;3750000;3000;82;4;2754230;2715585;185
ZigZagOverNSNMobility;20;8;11.80455;10;3750000;3000;47;4;3532485;3036320;185
KingstonImprovedOverNSNMobility;20;8;11.75052;10;3750000;3000;53;4;3608360;3119040;184
TSPbasedMobility;20;8;13.29411;10;3750000;3000;65;4;3259205;3239515;185
ZigZagOverNSNMobility;20;4;5.92501;10;3750000;3000;38;4;3641480;3392605;185
KingstonImprovedOverNSNMobility;20;4;6.31223;10;3750000;3000;41;4;3693930;3303445;185
